date,description,net_amount,vat_amount,category
28/03/2025,2601 Wk4 NRC_PCP Traction Electricity & Diesel Cos,3335589.62,0.0,TOCOpCosts(Pub)
07/03/2025,Operate Roads PFI Service Payments,3317736.23,0.0,PFI Service Payments
17/03/2025,Feasibility,3276994.6,0.0,TA Cost AUC – Non SRN
25/03/2025,Westmorland and Furness 100%-  LEVI C Fund 24-25,3205000.0,0.0,Cap Grt Loc Auth
27/03/2025,NEXUS P11 February 2025 Capital (MARP),3185056.0,0.0,Cap Grt Loc Auth
12/03/2025,RIS 1 Schemes,3099864.78,0.0,TA Cost AUC - Programme
11/03/2025,RIS 2 Schemes,3002684.1,0.0,TA Cost AUC - Programme
25/03/2025,London B of Lewisham -  LEVI C Fund 24-25 100%,2981000.0,0.0,Cap Grt Loc Auth
24/03/2025,Consolidated Active Travel Fund 2,2913349.0,0.0,CurrGrt Las in AEF/A
25/03/2025,K-Upon Hull City Council -  LEVI C Fund 24-25 100%,2840000.0,0.0,Cap Grt Loc Auth
10/03/2025,RIS 2 Schemes,2815064.5,0.0,TA Cost AUC - Programme
12/03/2025,SR13 RIP Schemes,2767298.45,0.0,TA Cost AUC - Programme
25/03/2025,Sub-national Transport Body Core Funding FY2025-26,2754100.0,0.0,CurrGrt Las in AEF/A
17/03/2025,RIS 1 Schemes,2750033.89,0.0,TA Cost AUC - Programme
25/03/2025,London B of Lambeth -  LEVI C Fund 24-25 100%,2721000.0,0.0,Cap Grt Loc Auth
26/03/2025,To fund resources provided through CDC Framework,2720607.71,0.0,Project Management
19/03/2025,Renewals of Roads,2715941.59,0.0,TA Renewal of Roads - Capital
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,2672322.3,0.0,Cap Grt Loc Auth
11/03/2025,Feasibility,2665971.61,0.0,TA Cost AUC - Programme
20/03/2025,Corporate Support Services,2598188.36,0.0,Contractor Costs
14/03/2025,RSSB - Research Grant for 2024/25 - Quarter 4,2475000.0,0.0,Research Grant-PS
19/03/2025,RIS 1 Schemes,2441364.73,0.0,TA Cost AUC - Programme
01/03/2025,The connection is at Streethay (Phase 1). Costs for the DNO to carry out the Contestable and Non Contestable Works,2400000.0,0.0,AUC - Phase 1
03/03/2025,CDC Lot 2 Commercial Management  Uplift ,2394302.95,0.0,Business Services
07/03/2025,#,2364409.38,0.0,Agents Fees
28/03/2025,#,2348544.49,0.0,Estates PFI Unitary
31/03/2025,#,2348544.49,0.0,Estates PFI Unitary
27/03/2025,ER of Yorkshire Council -  LEVI C Fund 24-25 100%,2326000.0,0.0,Cap Grt Loc Auth
27/03/2025,Nexus P11 February 2025 Resource Grant,2316666.67,0.0,CurrGrt Las in AEF/A
19/03/2025,"""VW Commercial Vehicles  Jan   2025 #2,315,000""",2315000.0,0.0,Cap Grt Pri Sec-Cos.
27/03/2025,DVLA Swan UC Mar 24,2283707.04,0.0,Estates PFI Unitary
28/03/2025,2601 Wk4 NRC_FRP Capex (CWBPC)_P2512 - West Midlan,2231353.08,0.0,Capital Subs To Tocs
24/03/2025,Operate Roads PFI Service Payments,2195260.01,0.0,PFI Service Payments
26/03/2025,Railway Directorate Core FY24/25,2192921.66,0.0,Engineering Services - Civil
28/03/2025,PAYG RDG GM - Phase 1 Delivery,2180834.0,0.0,Cap Grt Loc Auth
28/03/2025,Operate Roads PFI Service Payments,2169683.94,0.0,PFI Service Payments
21/03/2025,Medway Council -  LEVI C Fund 24-25 100%,2124000.0,0.0,Cap Grt Loc Auth
05/03/2025,Bus Transformation Fund (CDEL) Cornwall,2115000.0,0.0,Cap Grt Loc Auth
27/03/2025,ZEBRA 2,2042773.22,0.0,Cap Grt Loc Auth
12/03/2025,MRN/LLM  Capital Grants 2024/25,2041800.0,0.0,Cap Grt Loc Auth
27/03/2025,ZEBRA 2,2010561.81,0.0,Cap Grt Loc Auth
27/03/2025,ZEBRA 2,2008139.08,0.0,Cap Grt Loc Auth
07/03/2025,Supply Call-Off for Activity 10 (Logistics Hub),1936296.47,0.0,Business Services
28/03/2025,2601 Wk4 SWR_NRC_ROM FEE_23_24 - First MTR South W,1873945.63,0.0,TOCPerfMgmtFee(Pub)
20/03/2025,Renewals of Roads,1858131.33,0.0,TA Renewal of Roads - Capital
19/03/2025,RIS 2 Schemes,1853044.33,0.0,TA Cost AUC - Programme
14/03/2025,RIS 2 Schemes,1847025.0,0.0,TA Cost AUC - Programme
28/03/2025,Safer Roads Fund Capital Grant,1842820.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 NTL- Rail PAYG Pilots - Northern Trains L,1829113.0,0.0,Capital Subs To Tocs
24/03/2025,Levelling Up Fund Payment 19 for Round 1 Schemes,1817654.97,0.0,Cap Grt Loc Auth
06/03/2025,NH- Tech Resource payment.,1801597.1,0.0,Business Services
19/03/2025,RIS 1 Schemes,1792422.92,0.0,TA Cost AUC - Programme
27/03/2025,Feasibility,1792127.57,0.0,TA Cost AUC - Programme
24/03/2025,Levelling Up Fund Payment 19 for Round 1 Schemes,1756157.33,0.0,Cap Grt Loc Auth
27/03/2025,Operate General Management Costs,1750000.0,0.0,TA Cost AUC – Non SRN
18/03/2025,#,1740414.0,0.0,Property Maintenance
27/03/2025,ZEBRA 2,1738986.71,0.0,Cap Grt Loc Auth
18/03/2025,RIS 2 Schemes,1717825.49,0.0,TA Cost AUC – Non SRN
10/03/2025,RIS 2 Schemes,1706732.99,0.0,TA Cost AUC - Programme
26/03/2025,Biodiversity,1705800.32,0.0,TA Cost AUC - Programme
10/03/2025,#,1705383.11,0.0,Purchasing Card Char
14/03/2025,RIS 2 Schemes,1704467.31,0.0,TA Cost AUC - Programme
11/03/2025,Feasibility,1691625.51,0.0,TA Cost AUC - Programme
11/03/2025,RIS 2 Schemes,1672245.85,0.0,TA Cost AUC - Programme
25/03/2025,Milton Keynes B Council -  LEVI C Fund 24-25 100%,1642000.0,0.0,Cap Grt Loc Auth
24/03/2025,Consolidated Active Travel Fund 2,1627020.0,0.0,CurrGrt Las in AEF/A
27/03/2025,"""PIVG Peugeot  February  2025 #1,615,000.00""",1615000.0,0.0,Cap Grt Pri Sec-Cos.
12/03/2025,MRN/LLM  Capital Grants 2024/25,1602768.0,0.0,Cap Grt Loc Auth
20/03/2025,Live Labs 2 2024/25 second payment,1595518.0,0.0,Cap Grt Loc Auth
12/03/2025,MRN/LLM  Capital Grants 2024/25,1581682.0,0.0,Cap Grt Loc Auth
31/03/2025,Research grant for roads policing innovation,1580000.0,0.0,CurrGrtPriSec-P&NPIS
24/03/2025,Consolidated Active Travel Fund 4,1564150.0,0.0,CurrGrt Las in AEF/A
20/03/2025,Live Labs 2 2024/25 second payment,1553500.0,0.0,Cap Grt Loc Auth
20/03/2025,Renewals of Roads,1547780.77,0.0,TA Renewal of Roads - Capital
28/03/2025,2601 Wk4 EWR On Account - Opex (ICP) - THE CHILTER,1531016.72,0.0,TOCOpCosts(Pub)
27/03/2025,ZEBRA 2,1529916.43,0.0,Cap Grt Loc Auth
