date,description,net_amount,vat_amount,category
08/01/2026,procurement contract,184174.69,0.0,procurement contract
08/01/2026,procurement contract,118870.0,0.0,procurement contract
08/01/2026,procurement contract,87386.29,0.0,procurement contract
08/01/2026,Project - Contract Mandays (supplier controlled),108128.8,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),22875.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),-36118.92,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),46605.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),72151.99,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),26887.49,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),78851.21,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),87405.92,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),29739.11,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),35665.78,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),21826.07,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),28826.27,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),120393.79,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),20834.7,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),416250.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),139138.6,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),31057.19,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),78617.5,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),43022.71,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),24650.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),25556.25,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),48245.86,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),23944.35,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),29420.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),26895.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),39115.66,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),40502.75,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),307754.65,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),263865.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),167286.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),351499.51,0.0,PROJECT Mandays Supp
